,rs,day,web-visits,web-visitors,and-visits,and-visitors,ios-visits,ios-visitors
0,vrs_schibs1_fcall,20220216,558679.0,438224.0,1146.0,962.0,8166.0,5187.0
1,vrs_schibs1_fcall,20220217,540760.0,424964.0,12259.0,8160.0,10063.0,6400.0
2,vrs_schibs1_fcall,20220218,503192.0,397362.0,35498.0,22167.0,12867.0,7735.0
3,vrs_schibs1_fcall,20220219,450035.0,361176.0,62559.0,41602.0,13818.0,9139.0
4,vrs_schibs1_fcall,20220220,532867.0,433282.0,94052.0,62708.0,20741.0,14117.0
0,vrs_schibs1_motorcochesnet,20220216,420144.0,307238.0,0.0,0.0,0.0,0.0
1,vrs_schibs1_motorcochesnet,20220217,402448.0,293275.0,0.0,0.0,0.0,0.0
2,vrs_schibs1_motorcochesnet,20220218,384949.0,280927.0,0.0,0.0,0.0,0.0
3,vrs_schibs1_motorcochesnet,20220219,377146.0,274826.0,0.0,0.0,0.0,0.0
4,vrs_schibs1_motorcochesnet,20220220,389893.0,287337.0,0.0,0.0,0.0,0.0
