Custom parameter dimension,web,app android,app ios,Totals
,6735118,1610487,63420,8409025,Grand total
ad_3d_button_clicked,3203,0,0,3203
ad_contact_button,5558,4171,223,9952
ad_deleted,0,24,0,24
ad_discarded,0,4974,275,5249
ad_discarded_success,0,4739,273,5012
ad_error_replied_email,525,154,4,683
ad_insertion_abandonment,219,33,0,252
ad_insertion_confirmation,449,27,0,476
ad_insertion_viewed,0,69,0,69
ad_modification_confirmation,486,73,0,559
ad_modification_confirmation_error,0,13,0,13
ad_modification_viewed,0,98,0,98
ad_not_available_triggered,0,505,0,505
ad_recovered,0,180,0,180
ad_replied_email,13594,0,0,13594
add_note_button_clicked,0,0,2,2
alert_added,0,1516,49,1565
alert_added_error,0,40,2,42
alert_added_modify,0,0,7,7
alert_added_success,0,1501,61,1562
alert_configuration_applied,0,84,0,84
alert_deleted,0,415,22,437
alert_edit_button_clicked,0,175,4,179
alert_guest_accepted,0,465,0,465
alert_guest_automatically_created,0,569,9,578
alert_guest_close_modal_clicked,0,72,0,72
alert_guest_declined,0,69,9,78
alert_modal_viewed,4400,77,0,4477
alert_modification_error,0,2,2,4
alert_modification_showed,0,209,4,213
alert_modification_success,0,133,2,135
average_price_clicked,158,0,0,158
blog_button_clicked,26,0,0,26
deep_link_opened,0,77119,1146,78265
delete_alert_close_modal_clicked,0,20,0,20
delete_alert_modal_viewed,0,253,0,253
detail_map_viewed,0,13711,464,14175
detail_navigation_button_clicked,40401,0,0,40401
detail_viewed,0,215938,10765,226703
detail_web_viewed,1099311,0,0,1099311
download_app,9935,0,0,9935
draw_map_clicked,9934,0,302,10236
edit_alert_frequency_button_clicked,0,164,4,168
error_reported,0,27,2,29
error_reported_success,0,15,2,17
event_fired,150152,0,0,150152
experiment_viewed,2413228,331308,16190,2760726
explore_services_showed,4540,0,0,4540
favourite_added,16466,9506,640,26612
favourite_modal_viewed,6509,0,0,6509
favourite_removed,750,1596,75,2421
favourite_removed_success,737,1594,75,2406
filters_applied,0,13517,1475,14992
filters_viewed,0,18013,1598,19611
form_field_interaction,0,0,462,462
form_started,0,0,80,80
geoadvisor_button_clicked,0,209,9,218
geoadvisor_find_ads_clicked,35,0,0,35
geoadvisor_landing_button_clicked,459,0,0,459
geoadvisor_ratings_finished_viewed,2,0,0,2
geoadvisor_ratings_viewed,2,0,0,2
gigya_got_closed,33,0,0,33
gigya_modal_showed,678,0,0,678
google_one_tap_showed,124256,0,0,124256
home_viewed,90452,122742,4837,218031
homepage_register_button_clicked,0,42,0,42
instant_app_button_clicked,0,273,0,273
last_photo_viewed,0,32500,1353,33853
list_favorites_loaded,0,9015,1177,10192
list_loaded,0,211923,0,211923
list_map_loaded,0,15205,2334,17539
list_map_viewed,0,17737,2034,19771
list_matches_loaded,0,7367,441,7808
list_microsite_loaded,0,5535,67,5602
list_recommended_loaded,0,280,2,282
list_suggested_loaded,0,2273,159,2432
list_viewed,0,212768,4645,217413
list_web_viewed,1575895,0,0,1575895
map_poi_clicked,109832,0,1800,111632
mortgage_button_clicked,2439,364,82,2885
mortgage_simulation_viewed,0,1618,98,1716
mortgages_viewed,966,0,0,966
my_ads_viewed,0,677,49,726
my_alerts_viewed,0,66478,1266,67744
my_messages_viewed,0,2084,209,2293
nearby_neighbourhoods_showed,3691,0,0,3691
neighbourhood_ratings_button_clicked,45,0,0,45
page_viewed,0,120202,4920,125122
products_catalogue_button_clicked,2,0,0,2
property_valuation_landing_button_clicke,25,0,0,25
property_valuation_simulation_button_cli,54,0,0,54
pta_button_clicked,993,440,2,1435
pta_ce_clicked,888,0,0,888
pta_photo_upload_button_clicked,0,67,0,67
push_notification_tapped,0,0,20,20
ratings_backto_button_clicked,2,0,0,2
ratings_sent_button_clicked,2,0,0,2
recommended_ads_showed,3787,0,0,3787
recommender_card_clicked,20203,0,0,20203
remove_filters_clicked,0,105,0,105
request_reset_password,708,60,0,768
request_reset_password_error,189,0,0,189
request_reset_password_showed,937,71,0,1008
reset_password_error,0,2,0,2
reset_password_showed,473,0,4,477
reset_password_success,0,31,0,31
search_history_item_selected,29566,17267,800,47633
shared_icon_clicked,0,5202,382,5584
show_detail_nc_button_clicked,0,27,0,27
sign_in_showed,21323,535,20,21878
sign_up_showed,5093,351,6,5450
signed_in,4627,242,9,4878
signed_in_error,16921,214,29,17164
signed_out,247,2,0,249
signed_up,2298,210,9,2517
signed_up_error,2593,80,0,2673
small_cards_top_clicked,8225,0,0,8225
social_auth_clicked,0,396,15,411
suggested_viewed,0,36004,2414,38418
vvg_banner_button_clicked,21671,395,0,22066
vvg_banner_showed,904807,16326,0,921133
vvg_contact_button_clicked,11,0,0,11
vvg_landing_button_clicked,107,0,0,107

