Date;score
2018-10-02;9
2018-10-02;3
2018-10-02;8
2018-10-02;10
2018-10-02;7
2018-10-02;9
2018-10-02;10
2018-10-02;10
2018-10-02;9
2018-10-02;8
2018-10-02;10
2018-10-02;10
2018-10-02;5
2018-10-02;10
2018-10-02;4
2018-10-02;9
2018-10-02;6
2018-10-02;8
2018-10-02;2
2018-10-02;10
2018-10-02;8
2018-10-02;8
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;7
2018-10-02;5
2018-10-02;10
2018-10-02;8
2018-10-02;10
2018-10-02;10
2018-10-02;9
2018-10-02;5
2018-10-02;10
2018-10-02;8
2018-10-02;5
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;8
2018-10-02;7
2018-10-02;10
2018-10-02;7
2018-10-02;10
2018-10-02;5
2018-10-02;10
2018-10-02;8
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;7
2018-10-02;9
2018-10-02;10
2018-10-02;10
2018-10-02;8
2018-10-02;7
2018-10-02;8
2018-10-02;8
2018-10-02;5
2018-10-02;8
2018-10-02;10
2018-10-02;10
2018-10-02;4
2018-10-02;7
2018-10-02;7
2018-10-02;9
2018-10-02;9
2018-10-02;10
2018-10-02;7
2018-10-02;10
2018-10-02;9
2018-10-02;6
2018-10-02;10
2018-10-02;10
2018-10-02;9
2018-10-02;7
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;8
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;8
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;8
2018-10-02;2
2018-10-02;10
2018-10-02;9
2018-10-02;10
2018-10-02;9
2018-10-02;5
2018-10-02;10
2018-10-02;7
2018-10-02;9
2018-10-02;8
2018-10-02;7
2018-10-02;8
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;6
2018-10-02;10
2018-10-02;5
2018-10-02;8
2018-10-02;8
2018-10-02;8
2018-10-02;2
2018-10-02;8
2018-10-02;8
2018-10-02;6
2018-10-02;6
2018-10-02;3
2018-10-02;9
2018-10-02;8
2018-10-02;9
2018-10-02;10
2018-10-02;10
2018-10-02;8
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;9
2018-10-02;10
2018-10-02;8
2018-10-02;9
2018-10-02;8
2018-10-02;10
2018-10-02;8
2018-10-02;10
2018-10-02;8
2018-10-02;9
2018-10-02;9
2018-10-02;7
2018-10-02;5
2018-10-02;6
2018-10-02;7
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;3
2018-10-02;7
2018-10-02;9
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;5
2018-10-02;10
2018-10-02;0
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;1
2018-10-02;10
2018-10-02;10
2018-10-02;8
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;9
2018-10-02;8
2018-10-02;10
2018-10-02;10
2018-10-02;9
2018-10-02;10
2018-10-02;8
2018-10-02;7
2018-10-02;7
2018-10-02;10
2018-10-02;9
2018-10-02;9
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;0
2018-10-02;8
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;5
2018-10-02;0
2018-10-02;10
2018-10-02;7
2018-10-02;4
2018-10-02;6
2018-10-02;6
2018-10-02;8
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;6
2018-10-02;10
2018-10-02;10
2018-10-02;8
2018-10-02;8
2018-10-02;7
2018-10-02;7
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;6
2018-10-02;6
2018-10-02;8
2018-10-02;10
2018-10-02;10
2018-10-02;7
2018-10-02;10
2018-10-02;10
2018-10-02;10
2018-10-02;6
2018-10-02;10
2018-10-02;9
2018-10-02;10
2018-10-03;10
2018-10-03;6
2018-10-03;8
2018-10-03;10
2018-10-03;6
2018-10-03;5
2018-10-03;5
2018-10-03;10
2018-10-03;5
2018-10-03;1
2018-10-03;9
2018-10-03;10
2018-10-03;8
2018-10-03;0
2018-10-03;7
2018-10-03;9
2018-10-03;10
2018-10-03;10
2018-10-03;10
2018-10-03;10
2018-10-03;10
2018-10-03;10
2018-10-03;10
2018-10-03;3
2018-10-03;10
2018-10-03;10
2018-10-03;8
2018-10-03;8
2018-10-03;10
2018-10-04;10
2018-10-04;10
2018-10-04;3
2018-10-04;7
2018-10-04;10
2018-10-04;10
2018-10-04;8
2018-10-04;0
2018-10-04;3
2018-10-04;10
2018-10-04;5
2018-10-04;0
2018-10-04;10
2018-10-04;8
2018-10-04;10
2018-10-05;5
2018-10-05;10
2018-10-05;10
2018-10-05;10
2018-10-05;5
2018-10-05;10
2018-10-05;10
2018-10-05;10
2018-10-05;0
2018-10-05;9
2018-10-05;10
2018-10-06;6
2018-10-06;8
2018-10-06;6
2018-10-07;10
2018-10-07;10
2018-10-07;10
2018-10-07;9
2018-10-08;6
2018-10-08;8
2018-10-08;8
2018-10-08;9
2018-10-08;9
2018-10-08;7
2018-10-08;10
2018-10-08;10
2018-10-08;10
2018-10-08;10
2018-10-09;8
2018-10-09;10
2018-10-09;9
2018-10-09;10
2018-10-09;8
2018-10-10;8
2018-10-10;10
2018-10-10;10
2018-10-10;9
2018-10-10;10
2018-10-10;10
2018-10-10;5
2018-10-10;6
2018-10-10;6
2018-10-11;5
2018-10-11;10
2018-10-11;10
2018-10-11;10
2018-10-11;6
2018-10-14;10
2018-10-14;3
2018-10-14;8
2018-10-15;10
2018-10-15;10
2018-10-15;9
2018-10-15;10
2018-10-15;10
2018-10-16;8
2018-10-16;5
2018-10-16;10
2018-10-16;10
2018-10-16;7
2018-10-16;10
2018-10-17;10
2018-10-17;8
2018-10-17;10
2018-10-17;10
2018-10-17;5
2018-10-17;8
2018-10-17;7
2018-10-18;10
2018-10-18;10
2018-10-18;7
2018-10-19;0
2018-10-19;10
2018-10-19;10
2018-10-19;8
2018-10-20;9
2018-10-20;10
2018-10-21;8
2018-10-22;10
2018-10-22;10
2018-10-22;6
2018-10-22;7
2018-10-23;10
2018-10-23;10
2018-10-23;10
2018-10-23;10
2018-10-24;10
2018-10-24;5
2018-10-24;10
2018-10-24;10
2018-10-24;3
2018-10-24;10
2018-10-24;10
2018-10-24;8
2018-10-24;6
2018-10-24;8
2018-10-24;3
2018-10-25;5
2018-10-25;0
2018-10-25;10
2018-10-25;9
2018-10-25;10
2018-10-25;8
2018-10-25;10
2018-10-25;8
2018-10-25;5
2018-10-25;6
2018-10-25;0
2018-10-26;8
2018-10-26;10
2018-10-26;6
2018-10-26;10
2018-10-26;5
2018-10-26;5
2018-10-26;9
2018-10-26;10
2018-10-26;8
2018-10-27;8
2018-10-27;10
2018-10-28;10
2018-10-28;0
2018-10-29;10
2018-10-29;10
2018-10-29;10
2018-10-29;9
2018-10-29;2
2018-10-29;6
2018-10-29;8
2018-10-29;5
2018-10-29;8
2018-10-29;10
2018-10-29;10
2018-10-29;10
2018-10-29;9
2018-10-29;7
2018-10-29;9
2018-10-29;7
2018-10-29;10
2018-10-29;10
2018-10-29;10
2018-10-29;10
2018-10-29;7
2018-10-29;10
